                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99289,                 2.3612,                 4.0599,                  1.325,                0.45493,                0.10291,                0.06367,                0.05013,                0.45779,                0.10329,                0.06479,                0.04781,                0.89302,                 1.8662,                 2.9432,                 1.2841,             3.0901e-05,             3.0901e-05,             3.0901e-05
                      2,                0.82427,                 1.7362,                 2.7174,                 1.1955,                0.56265,                0.15274,                0.12743,                0.10217,                0.57458,                0.15369,                0.12885,                0.09771,                0.82576,                 1.7008,                  2.412,                 1.2023,             6.1288e-05,             6.1288e-05,             6.1288e-05
                      3,                0.77858,                 1.6129,                 2.3514,                 1.1517,                0.50263,                0.19337,                0.16686,                0.13401,                0.50333,                0.19291,                0.16833,                0.12828,                 0.8072,                 1.6288,                 2.2001,                 1.1807,             9.1061e-05,             9.1061e-05,             9.1061e-05
                      4,                0.76285,                 1.5608,                  2.174,                 1.1338,                0.46758,                0.20517,                0.18229,                 0.1463,                0.46913,                0.20635,                0.18422,                0.14017,                0.78683,                 1.5983,                 2.1072,                 1.1597,             9.0238e-05,             9.0238e-05,             9.0238e-05
                      5,                0.74091,                 1.5132,                 2.0425,                 1.1197,                0.44028,                0.24253,                0.20829,                0.16842,                0.44683,                0.24026,                0.20948,                0.16162,                0.77085,                 1.5607,                 2.0214,                 1.1485,             9.0238e-05,             9.0238e-05,             9.0238e-05
                      6,                0.72328,                 1.4695,                 1.9333,                 1.1062,                 0.4712,                0.25523,                0.21963,                0.17836,                0.47253,                0.25546,                0.22136,                0.17213,                0.75998,                 1.5383,                 1.9647,                 1.1362,             8.9317e-05,             8.9317e-05,             8.9317e-05
                      7,                0.71342,                 1.4305,                 1.8557,                 1.0978,                0.49976,                0.25713,                0.22853,                0.18437,                0.49649,                0.25933,                0.23012,                0.17755,                0.75724,                 1.5177,                 1.9197,                  1.126,             8.8396e-05,             8.8396e-05,             8.8396e-05
                      8,                0.70189,                 1.4068,                 1.7816,                 1.0899,                0.45634,                0.25772,                0.23639,                0.19257,                0.45959,                0.25722,                0.23784,                0.18521,                0.75316,                 1.5173,                   1.91,                 1.1395,             8.7476e-05,             8.7476e-05,             8.7476e-05
                      9,                0.70423,                  1.387,                 1.7353,                 1.0859,                0.48748,                0.26399,                0.24362,                0.19667,                0.48905,                0.26518,                0.24534,                0.18915,                0.75903,                 1.5224,                  1.875,                 1.1361,             8.6555e-05,             8.6555e-05,             8.6555e-05
                     10,                0.69171,                 1.3784,                 1.6953,                 1.0791,                0.48711,                 0.2753,                0.25265,                0.20577,                0.48883,                0.27815,                0.25508,                0.19793,                0.75389,                 1.4905,                 1.8322,                 1.1305,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                0.67896,                 1.3366,                 1.6393,                 1.0705,                0.43192,                0.27477,                0.25719,                0.21005,                0.44549,                0.27579,                0.25857,                0.20131,                0.74322,                  1.516,                 1.8167,                 1.1236,             8.4714e-05,             8.4714e-05,             8.4714e-05
                     12,                0.67464,                 1.3233,                 1.6018,                 1.0673,                  0.471,                0.27323,                0.25882,                0.20901,                0.47638,                0.27489,                0.26196,                0.20141,                0.75046,                 1.4877,                 1.8059,                 1.1341,             8.3793e-05,             8.3793e-05,             8.3793e-05
                     13,                0.67123,                 1.3168,                 1.5682,                 1.0633,                0.48496,                0.27517,                0.26595,                0.21636,                0.48252,                0.27651,                0.26659,                0.20814,                0.74844,                 1.4976,                 1.8343,                 1.1359,             8.2872e-05,             8.2872e-05,             8.2872e-05
                     14,                0.66166,                  1.291,                 1.5306,                 1.0594,                0.44818,                0.29596,                0.27007,                 0.2195,                0.44798,                0.29406,                0.26959,                0.21008,                0.74921,                 1.4889,                  1.807,                 1.1329,             8.1952e-05,             8.1952e-05,             8.1952e-05
                     15,                0.65408,                 1.2802,                 1.5049,                 1.0525,                 0.4925,                0.27835,                0.27148,                0.22129,                0.47432,                0.28472,                0.27199,                 0.2116,                0.74735,                 1.5325,                 1.8294,                 1.1379,             8.1031e-05,             8.1031e-05,             8.1031e-05
                     16,                0.65226,                 1.2693,                 1.4716,                 1.0517,                 0.4629,                 0.2908,                 0.2734,                0.22366,                0.46488,                0.29181,                0.27615,                0.21389,                0.74365,                 1.4981,                 1.7725,                 1.1293,              8.011e-05,              8.011e-05,              8.011e-05
