                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5399,                 3.1413,                 3.5384,                 1.6761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.083387,               0.016613,               0.016613
                      2,                 1.4202,                 2.9076,                 3.3348,                 1.5893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.065073,               0.031633,               0.031633
                      3,                 1.3298,                 2.7506,                 3.2128,                 1.5246,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.045109,               0.045002,               0.045002
                      4,                 1.2498,                 2.5627,                 3.0517,                 1.4731,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.042575,               0.042575,               0.042575
                      5,                 1.1851,                 2.4236,                 2.9298,                 1.4266,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.042575,               0.042575,               0.042575
                      6,                 1.1464,                  2.362,                 2.8615,                  1.398,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0401,                 0.0401,                 0.0401
                      7,                 1.0982,                 2.2702,                 2.7652,                 1.3662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.037625,               0.037625,               0.037625
                      8,                  1.057,                 2.1924,                 2.6767,                 1.3386,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03515,                0.03515,                0.03515
                      9,                 1.0335,                 2.1534,                 2.6296,                 1.3221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.032675,               0.032675,               0.032675
                     10,                 1.0139,                 2.0915,                 2.5796,                  1.309,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0302,                 0.0302,                 0.0302
                     11,                 1.0539,                 2.2114,                 2.6713,                 1.4068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.027725,               0.027725,               0.027725
                     12,                 1.0358,                 2.1461,                 2.5857,                 1.3841,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.02525,                0.02525,                0.02525
                     13,                 1.0067,                 2.0774,                 2.5136,                 1.3631,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.022775,               0.022775,               0.022775
                     14,                0.98796,                 2.0247,                 2.4721,                  1.346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0203,                 0.0203,                 0.0203
                     15,                0.95759,                 1.9873,                 2.3944,                 1.3266,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017825,               0.017825,               0.017825
                     16,                0.93659,                 1.9391,                  2.335,                 1.3126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01535,                0.01535,                0.01535
                     17,                0.91122,                 1.8923,                 2.2732,                  1.284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012875,               0.012875,               0.012875
                     18,                 0.8925,                 1.8464,                 2.2185,                 1.2772,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0104,                 0.0104,                 0.0104
                     19,                0.86786,                 1.7894,                 2.1552,                 1.2604,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007925,               0.007925,               0.007925
                     20,                0.84605,                 1.7393,                 2.1194,                 1.2408,                0.26714,                0.09374,                0.06242,                0.04629,                0.16399,                0.00513,                0.00212,                0.00096,                 0.9083,                 8.5294,                 3.3969,                 1.3099,                0.00545,                0.00545,                0.00545
