                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78306,                 1.5934,                 2.8321,                 1.1833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039333,              0.0029319,              0.0029319
                      2,                0.81497,                 1.6497,                 2.9237,                 1.2211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004383,               0.004383,               0.004383
                      3,                0.74634,                 1.5021,                 2.6807,                 1.1608,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004383,               0.004383,               0.004383
                      4,                0.70256,                 1.4169,                 2.5346,                 1.1307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004156,               0.004156,               0.004156
                      5,                0.68236,                 1.3567,                 2.4339,                 1.1138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003929,               0.003929,               0.003929
                      6,                0.65007,                 1.2979,                 2.3179,                 1.0864,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037019,              0.0037019,              0.0037019
                      7,                0.62531,                 1.2476,                 2.2267,                  1.065,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034749,              0.0034749,              0.0034749
                      8,                0.61088,                 1.2055,                 2.1417,                 1.0514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032479,              0.0032479,              0.0032479
                      9,                0.59621,                 1.1823,                 2.0928,                 1.0424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030209,              0.0030209,              0.0030209
                     10,                0.58041,                 1.1538,                 2.0377,                 1.0282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027939,              0.0027939,              0.0027939
                     11,                0.59138,                 1.1723,                 2.0237,                 1.0648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025669,              0.0025669,              0.0025669
                     12,                0.57508,                 1.1282,                 1.9338,                 1.0474,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023399,              0.0023399,              0.0023399
                     13,                0.55745,                 1.0943,                 1.8583,                 1.0321,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021128,              0.0021128,              0.0021128
                     14,                0.54137,                 1.0568,                  1.775,                 1.0147,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018858,              0.0018858,              0.0018858
                     15,                0.52075,                 1.0186,                 1.6966,                0.99757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016588,              0.0016588,              0.0016588
                     16,                0.50844,                0.98811,                 1.6295,                0.98671,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014318,              0.0014318,              0.0014318
                     17,                0.49352,                0.96257,                 1.5566,                0.96751,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012048,              0.0012048,              0.0012048
                     18,                0.47784,                0.92141,                 1.4746,                0.95748,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097776,             0.00097776,             0.00097776
                     19,                0.46104,                0.89249,                 1.3942,                0.94263,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00075075,             0.00075075,             0.00075075
                     20,                  0.446,                0.86285,                 1.3107,                0.92787,                0.39281,                0.30539,                0.27328,                0.21955,                 0.3925,                0.30514,                0.27253,                0.21074,                0.54756,                 1.0575,                 1.8103,                 1.0067,             0.00052373,             0.00052373,             0.00052373
